keShi,jianJie,mingCheng 
心理科,"
	情绪性，是其常见的临床表现，部位游走而不固定，一般表现为头部紧束感、重压感、麻痛、、刺痛等程度与情绪波动、劳累等密切相关通常病程较长，病情起伏较大，常伴有、肌肉颤动、多汗、面红、发凉等自主神经功能紊乱症状。如病人一般情况较好，病程又较长，则不妨从最常见的症、心理症或癔病方面加以了解。",情绪性头痛
心理科,"
	情绪性是指人长期从事一些单调、机械的工作活动，伴随着肌体生化方面的变化，中枢局部神经细胞由于持续而出现抑制，致使人对工作对生活的热情和兴趣明显降低，直至产生厌倦情绪。
	的主要表现为行为的改变。人体的各个部位，从中枢大脑皮层细胞到骨骼肌基本收缩单位都能产生疲劳。",情绪性疲劳
心理科,"
	症又称精神性厌食症，简称为厌食症，它是一种患者自己有意造成的体重明显下降至正常生理标准体重以下，并极力维持这种状态的一种心理生理障碍。",情绪性厌食
皮肤科,"
	性 皮损以炎性的小丘疹为主，小米至豌豆大的坚硬的小丘疹，呈淡红色至深红色。丘疹中央可有一个或顶端未变黑的皮脂栓。",丘疹性痤疮
皮肤科,"
	为高出皮肤的局限性突起，小如针头，大如黄豆，可能高耸或平坦，平滑或状结构，或有与周围皮肤颜色相同（直径超过1cm者，称为斑块），许多开始的病损起自丘疹，应于密切观察和诊断。
	多种可表现为丘疹。有的仅丘疹单独表现，有的同时伴有其他皮损。丘疹发生的病变位于表皮或真皮上部，因此从病理角度认为，引起丘疹的机理为该部位由于某种代谢产物的堆积；或表皮或真皮细胞限局性增生；或该部位的炎性和各种细胞的浸润均可表现为丘疹。　　
	代谢产物的沉积：如皮肤淀粉样变的丘疹为真皮乳头淀粉样蛋白沉积所致。新液水肿性苔踪的丘疹，系由真皮上部大量就蛋白的沉积。　　
	的丘疹则为真皮乳头层内均质胶样团块浸润引起。　　",丘疹
心理科,"
	也可以称作七情内伤，七情即喜、怒、忧、思、悲、恐、惊七种情志活动，属精神致病因素，是内伤病的主要致病因素之一。七情本是正常的生理表现，但是突然、强烈或长期持久的精神刺激，超过了人体本身生理活动的耐受程度，使人体气机紊乱，阴阳气血失调，便会成为内生性致病因素，从而使人致病。
	 ",情志内伤
急诊科,"
	氰化物按化学结构可分为无机氰化物和有机氰化物，后者变称腈类化合物。能使急性中毒者动静脉血氧差可自正常的4%～5%降至1%～1.5%，故易致呼吸中枢，并造成死亡。氰化物中毒的主要临床表现为乏力、胸痛、胸闷、头晕、耳鸣、呼吸困难、心律失常、瞳孔缩小或扩大，陈发性或强直性抽搐、昏迷，最后呼吸、心跳停止而死亡。可以根据病人的病史和中毒的临床表现来进行诊断。",氰化物烧伤及合并中毒
辅助检查,"
	人血浆内的免疫球蛋白大多数存在于丙种球蛋白(γ-球蛋白)中。可分为五类，即免疫球蛋白G(IgG)、免疫球蛋白A(IgA)、免疫球蛋白M(IgM)、免疫球蛋白D(IgD)和免疫球蛋白E(IgE)。其中IgG是最主要的免疫球蛋白，约占人血浆丙种球蛋白的70，分子量约15万，含糖2～3。IgG分子由4条肽链组成。其中分子量为2.5万的肽链，称轻链，分子量为5万的肽链，称重链。轻链与重链之间通过二硫键(—S—S—)相连接。
	免疫球蛋白是机体受抗原(如病原体)刺激后产生的，其主要作用是与抗原起免疫反应，生成抗原-抗体复合物，从而阻断病原体对机体的危害，使病原体失去致病作用。另一方面，免疫球蛋白有时也有致病作用。
	在慢性患者，长期白、球比例倒置，警惕有迹象。",球蛋白异常
神经外科,"
	丘脑是间脑中最大的卵圆形灰质核团，位于第三脑室的两侧，左、右丘脑借灰质团块(称中间块)相连。 丘脑与第三脑室和侧脑室解剖关系密切，仅有室壁相隔，故丘常易破入脑室，可造成侧脑室体部铸型，或通过室间孔流向第三脑室，返流入双侧侧脑室，致双侧侧脑室三角部积血，且出血量大，易流入第三、四脑室。破入脑室后易发生梗阻性。丘脑出血引起梗阻性脑积水，发病时患者，内科保守治疗后缓解，梗阻解除，意识恢复。发病时即昏迷导致死亡。丘脑出血破入脑室的量多，大于15ml者有23例，说明出血量越大，破入脑室的可能性越大。",丘脑出血
消化内科,"
	 十二指肠具有球部溃疡症状，但疼痛更剧，可向右肩放射，更易出现出血、穿孔，由于部位较下，器械检查更易漏诊。
	十二指肠球后溃疡是中比较少见的一种类型，以症状重 ，并发症多，内科治疗效果差和术前确诊较为困难为其特点。
	十二指肠球后溃疡由于诊断比较困难，常被漏诊或误诊或延误诊断。文献报道，球后溃疡发病率占发病率的0.1%～5.8%，而尸体检查诊断者则达5%～ 20%。溃疡位置，以十二指肠上曲部内侧壁为多见，乳头以下罕见。患者发病年龄均较十二指肠球部溃疡者为高。",球后溃疡
其他综合,"
	系指颅脑损伤过程中，由于或头颅受暴力打击，直接伤及丘脑下部而出现的特殊的临床综合征。丘脑下部是自主神经系统重要的皮质下中枢，与机体内脏活动、内分泌、物质代谢、体温调节以及维持意识和睡眠有重要关系。因此丘脑下部损伤后临床表现往往重笃。单纯丘脑下部损伤较少，大多与严重和(或)伴发。",丘脑下部损害
精神科,"
	秋天是人们普遍感到心情烦躁的季节，需要好好调整，否则会在心理过分压抑的情况下出现极度发泄的行为。提议，心情感到烦躁时，少吃的食物，保持乐观向上的心情，必须要发泄时，及时大喊几声或者摔几个破罐子、打几拳沙袋，这样对调节心情很有好处。",秋季狂躁症
康复科,"
	是一种较少见的先天性畸形，但较尺骨缺如多见。发病常是双侧性，单侧亦不少见。男性患者较女性多，比例约为3∶2。在新生儿期就可发现患儿前臂向桡侧弯曲，大拇指转向内侧，与前臂成90°弯曲。",曲棍球棒手
眼科,"
	当眼的屈光介质(如角膜、晶体、玻璃体等)变得混浊或存在(包括、、等)时，即使视网膜功能良好的眼视力仍会下降。眼的，可用手术来治疗，而屈光不正则需要用透镜来加以矫正。",屈光介质混浊
骨外科,"
	是手指发生屈曲畸形的变化，手指的屈曲，常有家族史，开始不明显，渐渐屈曲加重，常伴有其他全身性综合征如Doun综合征。",屈曲指
骨外科,"
	股骨颈患者肢多有轻度。常发生于老年人，随着人的寿命延长，其发病率日渐增高，以50—70岁者为最多。造成老年人发生有2个基本因素，内因骨强度下降，多由于；双量子密度仪证实股骨颈部张力骨小梁变细，数量减少甚至消失，最后压力骨小梁数目也减少，加之股骨颈上区滋养血管孔密布(据200根成人股骨颈上区观察测量平均14.6±0.22个标准差为3.1)，均可使股骨颈生物力学结构削弱，使股骨颈脆弱。",屈髋屈膝及外旋畸形
眼科,"
	球后(Retrobulbar neuritis)一般分为急性和慢性两类，以后者较多见。由于视神经受侵犯的部位不同，球后视神经为可分许多不同类型：病变最常侵犯视盘黄斑束纤维，因该束纤维在球后眶内段视神经中央部分，故又名轴性神经炎；当病变由神经鞘膜侵犯视神经的周围纤维束时，则称为神经神经周围基质炎，这仅为病理改变，临床上不易确诊。",球后视神经炎
眼科,"
	性并无，而是一眼有或，视物模糊，致使侧眼弱视，由于无外观改变，常在入学或平时体检中发现，幼儿有时在家中由于用单眼看挂历或钟表而被发现。",屈光参差性弱视
眼科,"
	性，双眼均有明显的、、，不能双眼单视造成视物模糊，即使配镜视力下降也很快，治疗强调经常戴镜，清晰视物可使视力恢复，否则严重后不易恢复。中、高度屈光不正是导致弱视发生的主要原因之一，70%为远视性弱视。尽早矫正屈光不正后进行弱视训练，屈光不正是指眼在不使用调节时，平行光线通过眼的屈光作用后，不能在视网膜上结成清晰的物像，而在视网膜前或后方成像，它包括远视、近视及散光。",屈光不正性弱视
骨外科,"
	肱骨内上髁患者肘关节活动受限，前臂旋前、屈腕、屈指。是肘部损伤中最常见的一种，约占肘关节骨折的10%，仅次于与，占肘部损伤的第三位。骨折多发生在少年和儿童。这个年龄组，肱骨内上髁系属骨骺，尚未与肱骨下端融合，故易于撕脱，通称肱骨内上髁骨骺。",屈腕屈指无力
其他综合,"
	是指四肢经脉筋肉挛急不舒，四肢关节伸展功能障碍，不能完全完成动作。如手可以表现为腕部屈曲、手指强直。拇指内收贴近掌心与小指相对。",屈伸不利
心理科,"
	 (somatoform pain disorder)又称心因性疼痛(psychogenic pain)。有时临床上把一些原因不明的慢性疼痛统称为慢性疼痛综合征(chronic pain syndrome)。主要表现为各种部位的持久性疼痛，使患者感到痛苦，或影响其社会功能，但医学检查不能发现疼痛部位有任何器质性病变，不能用生理过程或躯体障碍予以合理解释的、经过医学检查不能发现有任何器质性病变的、持续的、严重的疼痛症状。身体任何部位均可发生疼痛，但典型的疼痛部位是、型面部痛、腰和;疼痛可位于体表、深部组织或内脏器官;性质可为模糊的、、酸痛或锐痛。临床上有证据表明：心理因素或情绪冲突对这类疼痛的发生，加剧，持续和严重程度起了重要作用。",躯体形式疼痛障碍
心理科,"
	是以各种躯体不适症状作为主要主诉，虽多方就医，经各种医学检查证实无器质性损害或明确的病理生理机制存在，但仍不能打消其疑虑的一类。",躯体化障碍
其他综合,"
	局限性：为。如局限性运动性常表现为口角、眼睑、手或足等的;若抽搐自一处开始，按大脑皮质运动区的排列形式逐渐扩展，即自一侧拇指始，渐延及腕、臂、肩部，则为Jackson癫痫。而手足搐搦症则呈间歇性四肢(以上肢手部最显著)强直性肌痉挛，典型者呈“助产士”手。",躯体或颜面某一局部的连续性抽动
神经外科,"
	截瘫是指横贯性病变发生在脊髓水平位上。 脊髓完全性损伤为屈性截瘫,部分性损伤呈现伸性截瘫。有时刺激下肢可引起不 可抑制的屈曲与排叫总体反射。脊髓损伤通常发生在一个活动度较大的脊柱节段与一个活动度较小的节段的结合部。颈段和胸腰结合部(胸11～腰2)是脊髓损伤中最常受到影响的区域，胸段或者腰段区的发生率则紧随其后。",屈性截瘫
精神科,"
	躯体疾病所致的是指在内脏器官、内分泌、代谢、营养、血液、胶原病和感染以及其他内科疾病的整个病程中所表现的精神障碍。是在原发躯体疾病的基础上产生以急性精神障碍表现为多见。是原发的躯体疾病的全部症状中一个组成部分。躯体疾病所致的精神障碍，一般不包括精神活性物质所致的精神障碍和。",躯体性疾病所致的精神障碍
心理科,"
	所谓，亦称身体依赖性或生理依赖性。是长期、反复使用毒品所产生的身体对毒品的依赖状态。主要表现在身体必须要在足量毒品的维持下，才能保持正常状态，一旦停用毒品，人体生理、生化过程就会产生异常和紊乱等一系列反应即戒断综合症。药品、毒品、气味等对人体生理、神经系统造成的反应。耐受性和敏感化(敏化)是中枢神经系统适应性改变的两种不同表现形式。",躯体依赖性
骨外科,"
	躯干的畸形弯曲即曲轴现象，曲轴现象是指骨骼未发育成熟的患者行后路脊柱融合术后，脊柱后方获得坚固融合而脊柱前方继续生长，从而脊柱畸形加重的一种现象，表现为矫正度丢失、椎体旋转加重、肋骨隆起增加。",躯干畸形弯曲
其他综合,"
	去脑强直，也叫，是因病变损害，使大脑与中脑和桥脑间的连系中断，影响了上部脑干的功能所致。常见于重症期，天幕疝晚期，，中脑、以及其他原因引起的严重等。其主要表现为四肢强直性伸展，上臂内收并旋内，前臂伸直并过分旋前，髋内收、内转，膝伸直，颈后仰呈。病人常呈状态，伴有呼吸不规律及全身肌肉。",去大脑强直
中医综合,"
	热痰：多由热痰犯肺或热痰郁久化脓化腐引起。其证除口臭外，每兼咳吐痰浊或脓血，短气等。",热痰口臭
风湿免疫科,"
	是的主要表现之一。又称类风湿(Rheumatoid arthritis,RA)，是一种病因尚未明了的慢性全身性炎症性疾病，目前公认类风湿关节炎是一种自身免疫性疾病。可能与内分泌、代谢、营养、地理、职业、心理和社会环境的差异、细菌和病毒感染及遗传因索等方面有关系，以慢性、对称性、多滑膜关节炎和关节外病变为主要临床表现，属于自身免疫炎性疾病。",热痛
精神科,"
	一种知觉障碍，特征为自我关注增强，但感到自我的全部或部分似乎是不真实、遥远或虚假的;这种改变发生时，感觉正常而且情感表达能力完整。",人格解体
心理科,"
	是指成人的行为模式和人际关系显著而持久地发性改变，至少持续二个月，可由于强烈或持久的应激因素所引起，也可继发于严重的精神或躯体疾病，而患者以往无。“慢性疼痛性人格综合征”也归于此。",人格改变
急诊科,"
	(heatexhaustion)：在高气温或强热辐射环境下，由于热引起外周血管扩张和大量失水造成循环血量减少，引起颅内暂时性供血不足而发生昏厥的疾病。、脉搏呼吸加快、大量出汗、皮肤变凉、血浆和细胞间液量减少、、等症状。这时体温正常。在炎热的天气下作体力劳动或长跑，都可能引致热衰竭，严重的更会。做好预防措施能有效防止本病症发生。
	 ",热衰竭
急诊科,"
	(heat cramp)是一种高温现象。在干热环境条件下劳动，出汗过度，随汗液排出很多NaCl，发生肢体和腹壁肌肉的痉挛现象。患者体温并不升高。补充食盐水即可缓解。热痉挛通常是受热导致的第一次警告，过度劳累之后，胳膊、腿和腹部等处的肌肉都会发生这种痉挛，一般由于身体盐分缺乏而引起(因为流汗过多，特别是食盐不足时)。",热痉挛
妇科,"
	人工手术后量多于月经量或似月经量，或量少淋漓不净2周以上者，称为“”。可由于、子宫收缩不佳或感染引起。另外有、症或肝肾功能异常，凝血机制障碍等患者，人工流产手术后也会引起出血时间较长，淋漓不止。似属中医“产后不止”范畴。",人工流产术后出血
精神科,"
	是指在没有感官功能不全、智力衰退、意识不清、的情况下，不能通过器官认识身体部位和熟悉物体的临床症状。包括视觉、听觉、触觉和身体部位的。",认识能力缺失
儿科综合,"
	是患儿的症状之一。(fetal alcoholic syndrome，FAS)系指母亲在妊娠期间，从而造成胎儿在宫内与出生后生长发育的障碍。胎儿酒精综合征的主要临床特征为：患儿，特殊面容和多种畸形。",人中圆凸
精神科,"
	认知功能是一个复杂的心理活动过程。当一个人的认知功能发生改变时，将会产生一系列的变化，包括思维、情感、意志和行为等。认知功能缺陷者具有特殊的个性特征，如孤僻、内向、敏感、思维缺乏逻辑性、好幻想等。有人称之为分裂样人格或分裂样潜隐素质(或易感素质)。而病人病前50%～60%具有分裂样易感。",认知功能损害
精神科,"
	认知是人脑接受外界信息，经过加工处理，转换成内在的心理活动，从而获取知识或应用知识的过程。它包括记忆、语言、视空间、执行、计算和理解判断等方面。认知障碍是指上述几项认知功能中的一项或多项受损，并影响个体的日常或社会能力。
	是心理障碍之一,认知缺陷或异常。认知是指人脑接受外界信息，经过加工处理，转换成内在的心理活动，从而获取知识或应用知识的过程。它包括记忆、语言、视空间、执行、计算和理解判断等方面。认知障碍是指上述几项认知功能中的一项或多项受损，当上述认知域有2项或以上受累，并影响个体的日常或社会能力时，可诊断为。",认知功能障碍
皮肤科,"
	妊娠性“胎斑”，也叫、蝴蝶斑或色素沉着。这是因为怀孕所引起的。因为怀孕时内分泌的改变，绝大多数妊娠妇女的乳头、乳晕、腹正中线及阴部皮肤着色加深，深浅的程度因人而异，原有的颜色也多加深。部分孕妇在妊娠4个月后，脸上出现茶褐色斑，分布于鼻梁、双颊，也可见于前额部，呈蝴蝶形，称为“”，然而只要皮肤的油脂分泌充足，酸碱度平衡，新陈代谢顺利，怀孕时就不容易斑。",妊娠斑
神经内科,"
	是植物人的表现之一。植物人(vegetative patient)：大脑皮层功能严重损害，受害者处于不可逆的深状态，丧失意识活动，但皮质下中枢可维持自主呼吸运动和心跳，此种状态称“植物状态”，处于此种状态的患者称“植物人”。
	 ",认知神经功能丧失
产科,"
	妊娠蛋白尿：一般来说，正常尿液中蛋白质甚少，不超过7~10mg/24h，用普通尿常规检查测不出。当尿液里蛋白质的含量达到一定值时，检查结果呈阳性。蛋白质含量呈阳性的尿就叫蛋白尿。孕妇排出这样的尿就叫妊娠蛋白尿。在胎儿尿液中，当尿中蛋白质含量增加，普通尿常规检查即可测出，称胎儿。 如果含量≥3.5g/24h，则称为大量蛋白尿。
	 ",妊娠蛋白尿
产科,"
	妊娠综合征(简称),妊高症，即以往所说的妊娠中毒症、先兆子痫等，是孕妇特有的病症，多数发生在妊娠20周与产后两周，约占所有孕妇的5%。其中一部分还伴有蛋白尿或水肿出现，称之为妊娠高血压综合症，病情严重者会产生头痛、视力模糊、上腹痛等症状，若没有适当治疗，可能会引起全身性痉挛甚至昏迷。该病是孕产妇特有的一种全身性疾病，本病严重威胁母婴健康，是引起孕产妇和围产儿死亡的主要原因。",妊高征
产科,"
	妊娠毒血症是酮血症、酸中毒、低血糖和肝功能衰竭的综合症。多发生于妊娠中、后期。本病的发生首先是体内肝糖元被消耗，接着动员体脂去调节血中葡萄糖平衡，结果造成大量脂肪积聚于肝脏和游离于血液中，造成脂肪肝和高血脂，肝功能衰竭，有机酮和有机酸大量积聚，导致酮血症和酸中毒。主要与营养失调和运动不足有关。品种、年龄、肥胖、胎次、怀胎过多、胎儿过大、妊娠期营养不良及环境变化等因素均可影响本病的发生。",妊娠毒血症
产科,"
	 妊娠综合征(简称)为常见的而又严重影响母婴安全的疾病。提高产前检查及处理，则可使妊高征引起的孕产妇死亡率明显降低。我国1984～1988年在选点地区的7 485例孕产妇死亡中，前5位主要死因产科出血、心脏病、妊高征、、战友全部死因构成比的77.4%。妊高征的防治是极为重要的。",妊娠高血压征
产科,"
	妊娠性一般可分为生理性和病理性两大类。在妊娠后半期孕妇常出现两下肢轻度水肿，休息后减轻多属生理性，休息后不消退，且日趋严重者，应考虑病理性。",妊娠后期水肿
产科,"
	妊娠分为早、中、晚三个阶段。早期妊娠为妊娠12周末以前，中期妊娠为第13周至第27周末，晚期妊娠为第28周及以后。妊娠后全身各个系统均发生一系列显著的生理改变，以适应不断增中的生理负担的需要，并持续整个妊娠期，分娩后2-6周这些改变才逐渐恢复到怀孕前的生理状态。妊娠期母体的各系统发生一系列生理变化，以适应不断增重的生理负担的需要。",妊娠期的生理变化
产科,"
	妊娠期(简称)，是妊娠期妇女所特有而又常见的疾病，以高血压、、、、、心，甚至发生母子死亡为临床特点。主要病变是全身性血管痉挛，而其中挛缩的结果会造成血液减少。按严重程度分为轻度、中度和重度，重度妊娠高血压综合征又称先兆和子痫，子痫即在高血压基础上有抽搐。",妊娠期高血压
产科,"
	妊娠期急性又称产科急性假性黄色肝萎缩，是妊娠晚期特有的致命性少见疾病。该病起病急骤，病情变化迅速，临床表现与暴发性相似，既往文献报道母儿死亡率分别为75%和85%，但如能做到早期诊断、早期治疗、及时终止妊娠，可降低母亲死亡率，婴儿死亡率可降至58.3%。此外病毒感染、中毒、药物(如四环素)、、妊娠期疾病等多因素对线粒体脂肪酸氧化的损害作用可能也有关。",妊娠期急性脂肪肝
内分泌科,"
	甲状腺功能亢进（）是一种常见的内分泌疾病，系甲状腺激素分泌过多所致。甲亢妇女常表现为月经紊乱、减少或，生育力低。但在治疗后或未经治疗的甲亢妇女中，怀孕者亦不少，其发生率约为1∶1000～2500次妊娠。妊娠期甲亢大多数是，这是一种主要由自身免疫和精神刺激引起，特征有弥漫性和突眼。
	的病因与非妊娠期间甲亢的病因基本相同，其中以Graves病最为常见。其次是毒性性甲状腺肿、甲状腺自主性高功能腺瘤等。另外，妊娠剧吐、葡萄胎、和绒毛膜上皮癌均可出现甲亢。",妊娠期间甲亢
产科,"
	在妊娠早期(六周左右)孕妇体内绒毛膜促性腺激素(HCG)增多，胃酸分泌减少及胃排空时间延长，导致、、喜酸食物或厌恶油腻、晨起呕吐等一系列反应，统称为。这些症状一般不需特殊处理，妊娠12周后随着体内HCG水平的下降，症状多自然消失食欲恢复正常。但要提醒孕妇的是，并非所有的呕吐都是早期怀孕反应。由于荷尔蒙激素及HCG共同作用导致孕妇产生的怀孕初期的妊娠反应，而每个人根据身体素质上的差异则会对妊娠反应产生不同的身体变化。通俗的说就是不一样的个体，反应的程度也不一样的。怀孕初期的症状一般出现在停经6周开始至怀孕3个月的这一时间段内。",妊娠反应
产科,"
	妊娠期间，小便不通，甚至小急疼痛，心烦不得卧，称为“妊娠小便不通‘”。古名“转胞”或“胞转”。",妊娠期间小便不通
产科,"
	是指在妊娠期出现的胸部疼痛。妊娠期出现的胸痛多数以心前区疼痛或为临床表现。是妊娠性所引起的。是一种罕见的妊娠并发症。国内报道甚少。这类心肌梗死不同于其他种类的心肌梗死，因为它不仅危及孕妇的生命，同时还给胎儿造成威胁。妊娠心肌梗死的临床表现对于诊断来说具有十分重要的参考及诊断价值。",妊娠期胸痛
内分泌科,"
	是指在妊娠期间发生的病或不同程度的葡萄糖耐量异常，也就是先怀孕，尔后发生的糖尿病。多诊断于妊娠的第24—28周。分娩结束后，多数患者血糖会恢复正常、糖尿病症状消失。约有20%的患者产后数年或数十年发展为2型糖尿病。美国的筛查发现从1991年到2000年，发病率从5.1%上升到7.4%，国内文献报道国内发病率为5%-20%不等，也在逐年上升。",妊娠期血糖高
产科,"
	的主要症状是阴道流血和。流产(abortion)为妇科常见疾病，如处理不当或处理不及时，可能遗留生殖器官炎症，或因大出血而危害孕妇健康，甚至威胁生命，此外，流产易与妇科某些疾病混淆。妊娠于20周前终止，胎儿体重少于500克，称为流产(1966年世界卫生组织)。流产发生于孕12周前者，称为早期流产。发生于12周后者，称为晚期流产。",妊娠时伴有腹痛的阴道流血
产科,"
	的重型症状主要为突然发生的持续性和(或)、腰痛。妊娠20周后或分娩期，正常位置的胎盘在胎儿娩出前，部分或全部从子宫壁剥离，称为胎盘早剥(placental abruption)。胎盘早剥是妊娠晚期的一种严重并发症，短训班起病急、进展快，若处理不及时，可危及母儿生命。国内报道的发生率为4.6‰～21‰，国外的发生率为5.1‰～23.3‰。发生率高低与分娩后是否仔细检查胎盘有关。有些轻型胎盘早剥于临产前可无明显症状，只在产后检查胎盘时，发现早剥处有凝血块压迹，此类患者易被忽略。",妊娠时持续性腹痛或腰酸腰痛
产科,"
	妇女除多毛外，无其它内分泌功能紊乱的症状和体征时称为特发性妇女，主要见于妊娠期妇女和期妇女。妇女在妊娠期间，发生一系列生理性的内分泌变化，其中脑垂体前叶分泌较多促肾上腺皮质激素和促性腺激素，由此引起肾上腺皮质激素及卵巢和肾上腺分泌的雄性激素增加。过多的雄性激素使毛发的生长期延长，毛发因此较平时为长;同时也可使条毛的数量增多，因此妊娠的早期即可出现多毛。本病是特发性的一种。",妊娠时出现的多毛
皮肤科,"
	多种激素增加导致色素沉着。妊娠性是由于怀孕所引起的，绝大多数妊娠妇女的乳头、乳晕、腹正中线及阴部皮肤着色加深，深浅的程度因人而异，同时原有的颜色也会加深。这种色素沉着是由于孕期体内大量孕激素、雌激素及脑垂体分泌的促黑色素细胞激素增加，致使皮肤中的黑色素细胞的功能增强，是一种妊娠期生理性变化。",妊娠性黄褐斑
皮肤科,"
	样病表现为。疱疹性脓疱病(impetigo herpetiformis)是一种好发于孕妇的严重，皮肤的基本损害是在基础上出现无菌性脓疱，常伴有严重的全身症状。分娩后逐渐缓解，再孕可复发。本病虽罕见，但较严重，甚至可危及生命，重症病例多有较明显的全身症状、低钙血症及手足抽搐。",妊娠时皮肤皱褶处小脓疱
产科,"
	妊娠晚期或临产时，发生无诱因的无痛性反复阴道流血是的主要症状。正常胎盘附着于子宫体部的后壁、前壁或侧壁。若胎盘附着于子宫下段，甚至胎盘下缘达到或覆盖宫颈内口处，其位置低于胎儿先露部，称为前置胎盘(placenta previa)。前置胎盘是妊娠晚期出血的主要原因之一，是妊娠期的严重并发症，处理不当能危及母儿生命安全。其发生率国内报道为0.24%～1.57% ，国外报道为1.0%。前置胎盘患者中85%～90%为经产妇，尤其是多产妇，其发生率可高达5%。",妊娠晚期或临产时无痛性反复阴道流血
皮肤科,"
	有的孕妇在妊娠期间，尤其是妊娠早期，会出现全身或局部性，程度有轻有重，严重时能令人坐卧不宁，难以忍受，这种病症就叫妊娠。通常将其分为急性痒疹、慢性痒疹和症状性痒疹三型。皮疹于分娩后1个月内自行消退，瘙痒也随之消失。也可以持续数月或下次妊娠时有可能再发，有人认为是一种轻型妊娠性。",妊娠痒疹
普外科,"
	随着脊柱外科手术的广泛开展，从大量临床病例观察中发现颈椎、胸椎及腰椎黄症在临床上并非少见，尤其是有了CT及MRI这两种先进技术后，诊断率及发现率明显提高。其中不乏对脊髓构成压迫或刺激的病例，病情严重者则需手术切除治疗。",韧带骨化
普外科,"
	生活中，普通人的韧带损伤常见于踝关节、膝关节、掌关节、指关节。一般是因为在活动中，做出超出关节活动范围的动作，导致相关韧带被动牵拉而引起撕裂或完全断裂。韧带断裂往往伴有和。韧带损伤后应及时诊断和治疗。伤后应马上采取制动、局部降温以延缓和减轻和出血，同时镇痛，然后及时到医院就诊。",韧带断裂
急诊科,"
	症是指妊娠20周以后出现、及，严重时可出现与。据孕妇的症状严重程度，临床分为轻度妊娠中毒症、中度妊娠中毒症、重度妊娠中毒症。
	发现妊娠中毒应及时送医院诊治，以防发生危险。
	1.轻度妊娠中毒症：血压较基础血压略有升高，可有徽量尿蛋白或轻度水肿。
	2.中度妊娠中毒症：有高血压、尿蛋白、水肿三者中任二者或二者以上。
	3.重度妊娠中毒症：
	①先兆子痛：有高血压、水肿、尿蛋白，伴有头痛、眼花、胸闷、恶心、上腹不适或呕吐。
	②子痛：在先兆子痛基础上有抽箔及昏迷。此时可有肺水肿、急性心力衰竭、急性肾功能不全、脑血管意外、吸入性肺炎、窒息、胎死宫内等严重并发症。",妊娠中毒
精神科,"
	日常生活能力减退和行为异常：多种高级皮层功能紊乱，涉及记忆、思维、定向、理解、计算、判断、言语和学习能力等多方面。意识清晰，情感自控能力差、社交或动机的衰退。颅内疾病、代谢性疾病、营养缺乏、中毒、精神心理疾病等各种因素都会导致日常生活能力减退和行为异常。针对该症状，应积极治疗原发疾病，同时训练患者的日常生活能力，指导其恢复相应能力，改变行为。",日常生活能力减退和行为异常
普外科,"
	韧带是指四肢关节或躯体部的软组织(如肌肉、肌腱、韧带、血管等)损伤，而无、脱臼、皮肉破损等情况。临床主要表现为损伤部位疼痛和关节活动受限，多发于腰、踝、膝、肩、腕、肘、髋。体内脂肪多、体重重的人会使肌肉发达度减小，故身体的灵活性、耐久力相应也较差，更易造成损伤，尤其在抵御造成创伤的暴力时，体重重的人处于不利地位。屈肌群与伸肌群肌力之比是一个很重要的因素，很多情况下会造成肌肉撕裂伤。技术不熟练的锻炼者也更易发生损伤。　",韧带扭伤
皮肤科,"
	是所引起的。疥疮是由人型疥螨寄生于人体皮肤表层内引起的慢性传染性。本病传染性强，主要通过密切接触传染，也可经衣物间接传染，可在家庭或集体人群中流行。",日轻夜重的瘙痒
皮肤科,"
	日光照射引起系指是由于皮肤暴露部位因日光中的中波紫外线过度照射后，在暴露部位引起的皮肤急性光毒反应。其机理为当皮肤组织受光线照射后，形成抗原物质，使机体致敏，导致过敏反应。由于中波紫外线作用浅表，仅表现在皮肤的表皮。且日光强烈照射后会很快造成皮肤表朊细胞坏死，并释放介质导致真皮血管扩张，从而引起组织。随后黑素细胞在日光的强烈照射下，加速合成黑素，从而使被晒皮肤变黑。
	 ",日光照射引起皮肤过敏
普外科,"
	在脊椎动物中，韧带是使各骨块相互连结的结缔组织的索状物，与弹性纤维紧密并行。后，局部、疼痛、压痛，有皮下出血的可看见青紫区。早期正确处理关节韧带非常重要。因为韧带组织不易再生恢复，如果处理不当或误诊而转成慢性疾病，可能遗留功能障碍，且以后易再次损伤。",韧带拉伤
精神科,"
	容易发生强迫性症状或疑病观念是指对自身感觉或征象作出患有不切实际的病态解释，致使整个心身被由此产生的疑虑、烦恼和恐惧所占据的一种神经症。以对自身健康的过分关心和持难以消除的成见为特点。易感素质是重要的发病基础，已发现本病在同一家庭成员有类似发作。此类病人人格特征为敏感、多疑、主观、固执、谨小慎微，对身体过分的关注，要求十分十美，男性患者病前常具有强迫人格，女性则与癔症性格有关。",容易发生强迫性症状或疑病观念
